R = 8

Step,Training Loss,Validation Loss
50,0.642310,0.633758
100,0.608504,0.579649
150,0.561947,0.558169
200,0.567643,0.543965
250,0.551448,0.532194
300,0.533232,0.524319
350,0.514003,0.518521
400,0.519999,0.512916
450,0.528556,0.508263
500,0.531233,0.504535
550,0.510197,0.501649
600,0.527776,0.499508
650,0.465318,0.496226
700,0.470751,0.494187
750,0.469087,0.493945
800,0.509047,0.491442
850,0.470458,0.489774
900,0.492650,0.488937
950,0.490513,0.487825
1000,0.472736,0.487332
1050,0.487474,0.486778
1100,0.492057,0.486661
1150,0.474882,0.486575


R = 16

Step,Training Loss,Validation Loss
50,0.609631,0.607950
100,0.592021,0.564293
150,0.549234,0.544588
200,0.554997,0.529306
250,0.538997,0.519430
300,0.521360,0.511087
350,0.501235,0.505146
400,0.508568,0.500944
450,0.516428,0.496261
500,0.519217,0.493156
550,0.497986,0.490636
600,0.511610,0.488150
650,0.448242,0.484914
700,0.454678,0.483053
750,0.451342,0.482581
800,0.491169,0.480065
850,0.452628,0.478741
900,0.476610,0.477874
950,0.472059,0.476724
1000,0.455889,0.476106
1050,0.471826,0.475470
1100,0.472884,0.475355
1150,0.458477,0.475276

R = 32

Step,Training Loss,Validation Loss
50,0.585200,0.589698
100,0.575896,0.549578
150,0.537578,0.532242
200,0.542294,0.516903
250,0.528248,0.509280
300,0.509574,0.499739
350,0.489858,0.494680
400,0.498545,0.491446
450,0.505874,0.487400
500,0.508653,0.483456
550,0.486872,0.480115
600,0.493788,0.477384
650,0.432336,0.474610
700,0.437405,0.472987
750,0.434472,0.472439
800,0.470077,0.469563
850,0.433715,0.468245
900,0.459691,0.467152
950,0.453289,0.466317
1000,0.437168,0.465566
1050,0.452359,0.465004
1100,0.454424,0.464855
1150,0.441877,0.464749
